# 256, 128, 64, reg=0.00005, lr=0.00001, "tanh", goes to around 10%, with best data 8%.
sigma_y,1,28.933349145736145,16.15539920418703
sigma_y,2,13.869316017564358,10.675980887418262
sigma_y,3,11.142911020966602,8.378210522449777
sigma_y,4,12.230632263763066,7.5908751572552005
sigma_y,5,8.238720035504626,3.45268488149077
sigma_y,6,13.685719982546889,11.716592317100302
sigma_y,7,9.027988392828721,6.01361865364487
sigma_y,8,11.75017163389695,6.107027144003086
sigma_y,9,13.447216944568956,7.33763363226061
sigma_y,10,17.98317566267405,10.334315775431124
sigma_y,11,21.144092395302707,8.319803440017168

# 256, 256, 64, reg=0.00005, lr=0.00001, "tanh", goes to around 15%, with best data 11%.
sigma_y,1,41.269091190433585,19.251695550376144
sigma_y,2,23.02878393251563,10.689734778141947
sigma_y,3,17.96135247124381,13.59385597380316
sigma_y,4,11.869736565105836,7.502002232584215
sigma_y,5,15.604792405152844,10.531512146270579
sigma_y,6,15.237610232050361,10.752678762779112
sigma_y,7,15.519432623252237,6.617403435037678
sigma_y,8,15.481065697082476,7.7775409762038175
sigma_y,9,20.23170196284158,8.220005548809128

# 256, 128, 128, reg=0.00005, lr=0.00001, "tanh", goes to around 20%, with best data 15%.
sigma_y,1,25.726232351787115,19.079177670845453
sigma_y,2,15.706829644284772,9.084110421493298
sigma_y,3,20.051275159045282,12.323939116577316
sigma_y,4,15.171003756712116,10.188490299717762
sigma_y,5,13.436450068499076,9.818844544413842
sigma_y,6,16.17559069509807,5.743381314135099
sigma_y,7,22.34589903878608,7.605961793600513
sigma_y,8,23.237747154950462,8.548055859893747
sigma_y,9,22.996445897463097,7.652152813024337
sigma_y,10,26.585743339314387,12.734528997136922
sigma_y,11,28.09095405474785,3.6280956288502706


# 256, 128, 64, reg=0.00005, lr=0.00001, "tanh", goes to around 20%, with best data 15%.
sigma_y,1,25.88322886089343,15.800489709469272
sigma_y,2,18.189193096646882,11.97670949106997
sigma_y,3,12.420816611596852,7.624399596111829
sigma_y,4,10.959218323633324,8.319650309796026
sigma_y,5,11.242577973493216,8.527174069342408
sigma_y,6,10.63792606980049,8.984611688014404
sigma_y,7,16.683208817954473,9.11943190985152
sigma_y,8,12.482905282193318,5.7406614547941865
sigma_y,9,15.9525388614996,7.635806789086039
sigma_y,10,22.283080917261998,8.969644919891403
sigma_y,11,18.200449525850622,8.520544048968667

sigma_y,1,24.15162195728968,13.978429470998393
sigma_y,2,19.677029987855995,12.661489438365457
sigma_y,3,14.601040889919961,9.699540558246424
sigma_y,4,12.290133982019483,9.208105756814701
sigma_y,5,8.705844242475974,5.290675273068195
Low Dim =Low Dim =256
sigma_y,1,25.866581189944963,17.630680401969144
Low Dim =256
sigma_y,1,25.819052582973143,16.517544282235104
Low Dim =256
sigma_y,1,28.17677779986646,17.580395891814494
Low Dim =256
sigma_y,1,29.490934384780665,16.26495629076813
Low Dim =256
sigma_y,1,28.856603391549623,17.680432976945326
