# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.731297552585601807e-01 2.127924680709838867e+00 nan 2.002487182617187500e+00 1.021568951478410092e+00 1.495205529706761682e+00
1.000000000000000000e+03 1.251369565725326538e-01 1.787496507167816162e-01 nan 1.810683161020278931e-01 6.101736451369429437e-01 4.496113644528770270e-01
2.000000000000000000e+03 1.240643709897994995e-01 1.278988569974899292e-01 nan 1.300051659345626831e-01 6.039325285955804423e-01 3.809749122863166915e-01
3.000000000000000000e+03 1.234539076685905457e-01 1.223478540778160095e-01 nan 1.243388205766677856e-01 6.038305629948367281e-01 3.725798861649433635e-01
4.000000000000000000e+03 1.206116750836372375e-01 1.223789528012275696e-01 nan 1.248506605625152588e-01 6.012959328770361989e-01 3.733459655772781716e-01
5.000000000000000000e+03 1.104256063699722290e-01 1.209531947970390320e-01 nan 1.299353092908859253e-01 5.905035260345010695e-01 3.808724891805874702e-01
6.000000000000000000e+03 8.758838474750518799e-02 8.821438252925872803e-02 nan 9.189723432064056396e-02 5.604115210510084433e-01 3.203075943460775843e-01
7.000000000000000000e+03 7.849447429180145264e-02 8.516449481248855591e-02 nan 9.470687806606292725e-02 4.494419458421171631e-01 3.251672381498861286e-01
8.000000000000000000e+03 2.632171474397182465e-02 1.309448014944791794e-02 nan 1.602352224290370941e-02 5.247395472163816077e-01 1.337503758466206394e-01
9.000000000000000000e+03 2.049385337159037590e-03 5.729100666940212250e-04 nan 5.836657248437404633e-03 4.748916749608783072e-01 8.072315778302376066e-02
1.000000000000000000e+04 9.703279356472194195e-04 3.225508553441613913e-04 nan 3.124913433566689491e-03 4.827574278872605040e-01 5.906565748571038221e-02
1.100000000000000000e+04 4.804220807272940874e-04 1.182686974061653018e-04 nan 2.074622083455324173e-03 4.738016752712345125e-01 4.812663781403140467e-02
1.200000000000000000e+04 4.987125284969806671e-04 2.560218272265046835e-04 nan 1.403027446940541267e-03 4.856967404057722093e-01 3.957757000485491450e-02
1.300000000000000000e+04 1.918635825859382749e-04 4.409993198351003230e-05 nan 1.042030635289847851e-03 4.733794310715098708e-01 3.410800210758299644e-02
1.400000000000000000e+04 1.764765183907002211e-04 7.326608465518802404e-05 nan 8.216833230108022690e-04 4.769331250065499961e-01 3.028783783013902151e-02
1.500000000000000000e+04 1.016855458146892488e-04 2.274485450470820069e-05 nan 6.575503502972424030e-04 4.730358308540962842e-01 2.709446452709855790e-02
1.600000000000000000e+04 1.815426512621343136e-04 1.124277332564815879e-04 nan 6.194082088768482208e-04 4.775938656695358775e-01 2.629689856613803139e-02
1.700000000000000000e+04 6.883878813823685050e-05 1.852846253314055502e-05 nan 4.697178374044597149e-04 4.733999741601778166e-01 2.289995315300448475e-02
1.800000000000000000e+04 5.624271943815983832e-05 1.511559548816876486e-05 nan 4.040855274070054293e-04 4.739979220454129671e-01 2.123991221383153549e-02
1.900000000000000000e+04 4.694953968282788992e-04 3.821555001195520163e-04 nan 7.672036299481987953e-04 4.857186351007046765e-01 2.926653986067244070e-02
2.000000000000000000e+04 8.742748468648642302e-05 5.638633228954859078e-05 nan 3.461892774794250727e-04 4.778660112216723266e-01 1.965951840091246725e-02
